title,cover,rating,director,actor,category,country,language,pub_date,duration
我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,9.0,文牧野,徐峥 / 王传君 / 周一围 / 谭卓 / 章宇 / 杨新鸣 / 王佳佳 / 王砚辉 / 贾晨飞 / 龚蓓苾 / 宁浩 / 李乃文 / 岳小军 / 苇青 / 富冠铭 / 巴拉特·巴蒂 / 喜利图 / 张海艳 / 朱耕佑,剧情 / 喜剧, 中国大陆, 汉语普通话 / 英语 / 上海话 / 印地语,2018-07-05(中国大陆) / 2018-06-30(大规模点映),117分钟
阿甘正传 Forrest Gump,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,9.5,罗伯特·泽米吉斯,汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯 / 麦凯尔泰·威廉逊 / 莎莉·菲尔德 / 海利·乔·奥斯蒙 / 迈克尔·康纳·亨弗里斯 / 哈罗德·G·赫瑟姆 / 山姆·安德森 / 伊俄涅·M·特雷奇 / 彼得·道博森 / 希芳·法隆 / 伊丽莎白·汉克斯 / 汉娜·豪尔 / 克里斯托弗·琼斯 / 罗布·兰德里 / 杰森·麦克奎尔 / 桑尼·施罗耶 / 艾德·戴维斯 / 丹尼尔C.斯瑞派克 / 大卫·布里斯宾 / 德博拉·麦克蒂尔 / 艾尔·哈林顿 / 阿非莫·奥米拉 / 约翰·沃德斯塔德 / 迈克尔·伯吉斯 / 埃里克·安德伍德 / 拜伦·明斯 / 斯蒂芬·布吉格沃特 / 约翰·威廉·高尔特 / 希拉里·沙普兰 / 伊莎贝尔·罗斯 / 理查德·达历山德罗 / 迪克·史迪威 / 迈克尔-杰斯 / 杰弗里·布莱克 / 瓦妮莎·罗斯 / 迪克·卡维特 / 马拉·苏查雷特扎 / 乔·阿拉斯奇 / W·本森·泰瑞,剧情 / 爱情, 美国, 英语,1994-06-23(洛杉矶首映) / 1994-07-06(美国),142分钟
第十一回,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2637603645.jpg,7.4,陈建斌,陈建斌 / 周迅 / 大鹏 / 窦靖童 / 春夏 / 王学兵 / 宋佳 / 牛犇 / 刘金山 / 于谦 / 贾冰 / 黄建新 / 史航 / 方龄 / 李九霄,剧情 / 喜剧, 中国大陆, 汉语普通话,2021-04-02(中国大陆) / 2019-04(北京国际电影节),117分钟
肖申克的救赎 The Shawshank Redemption,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,9.7,弗兰克·德拉邦特,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪, 美国, 英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
千与千寻 千と千尋の神隠し,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,9.4,宫崎骏,柊瑠美 / 入野自由 / 夏木真理 / 菅原文太 / 中村彰男 / 玉井夕海 / 神木隆之介 / 内藤刚志 / 泽口靖子 / 我修院达也 / 大泉洋 / 小林郁夫 / 上条恒彦 / 小野武彦,剧情 / 动画 / 奇幻, 日本, 日语,2019-06-21(中国大陆) / 2001-07-20(日本),125分钟
泰坦尼克号 Titanic,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,9.4,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩 / 凯西·贝茨 / 弗兰西丝·费舍 / 格劳瑞亚·斯图尔特 / 比尔·帕克斯顿 / 伯纳德·希尔 / 大卫·沃纳 / 维克多·加博 / 乔纳森·海德 / 苏茜·爱米斯 / 刘易斯·阿伯内西 / 尼古拉斯·卡斯柯恩 / 阿那托利·萨加洛维奇 / 丹尼·努齐 / 杰森·贝瑞 / 伊万·斯图尔特 / 艾恩·格拉法德 / 乔纳森·菲利普斯 / 马克·林赛·查普曼 / 理查德·格拉翰 / 保罗·布赖特威尔 / 艾瑞克·布里登 / 夏洛特·查顿 / 博纳德·福克斯 / 迈克尔·英塞恩 / 法妮·布雷特 / 马丁·贾维斯 / 罗莎琳·艾尔斯 / 罗切尔·罗斯 / 乔纳森·伊万斯-琼斯 / 西蒙·克雷恩 / 爱德华德·弗莱彻 / 斯科特·安德森 / 马丁·伊斯特 / 克雷格·凯利 / 格雷戈里·库克 / 利亚姆·图伊 / 詹姆斯·兰开斯特 / 艾尔莎·瑞雯 / 卢·帕尔特 / 泰瑞·佛瑞斯塔 / 凯文·德·拉·诺伊,剧情 / 爱情 / 灾难, 美国 / 墨西哥 / 澳大利亚 / 加拿大, 英语 / 意大利语 / 德语 / 俄语,1998-04-03(中国大陆) / 1997-11-01(东京电影节) / 1997-12-19(美国),194分钟 / 227分钟(白星版)
绿皮书 Green Book,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,8.9,彼得·法雷里,维果·莫腾森 / 马赫沙拉·阿里 / 琳达·卡德里尼 / 塞巴斯蒂安·马尼斯科 / 迪米特·D·马里诺夫 / 迈克·哈顿 / P·J·伯恩 / 乔·柯蒂斯 / 玛姬·尼克松 / 冯·刘易斯 / 乔恩·索特兰 / 唐·斯达克 / 安东尼·曼加诺 / 保罗·斯隆 / 珍娜·劳伦索 / 肯尼斯·以色列 / 伊克博·塞巴 / 尼克·瓦莱隆加 / 大卫·安 / 迈克·切罗内 / 杰拉尔丁·辛格 / 马丁·巴特斯·布拉德福德 / 格拉伦·布莱恩特·班克斯 / 汤姆·维图 / 夏恩·帕特洛 / 丹尼斯·W·霍尔 / 吉姆·克洛克 / 戴恩·罗兹 / 布赖恩·斯特帕尼克 / 乔恩·迈克尔·戴维斯 / 布莱恩·库瑞 / 托尼亚·马尔多纳多,剧情 / 喜剧 / 音乐 / 传记, 美国 / 中国大陆, 英语 / 意大利语 / 俄语 / 德语,2019-03-01(中国大陆) / 2018-09-11(多伦多电影节) / 2018-11-16(美国),130分钟
摔跤吧！爸爸 Dangal,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,9.0,涅提·蒂瓦里,阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 / 阿帕尔夏克提·库拉那 / 沙克希·坦沃 / 塞伊拉·沃西 / 苏哈妮·巴特纳格尔 / 里特维克·萨霍里 / 吉里什·库卡尼,剧情 / 家庭 / 传记 / 运动, 印度, 印地语 / 英语,2017-05-05(中国大陆) / 2016-12-23(印度),161分钟(印度) / 140分钟(中国大陆)
疯狂动物城 Zootopia,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,9.2,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什,金妮弗·古德温 / 杰森·贝特曼 / 伊德里斯·艾尔巴 / 珍妮·斯蕾特 / 内特·托伦斯 / 邦尼·亨特 / 唐·雷克 / 汤米·钟 / J·K·西蒙斯 / 奥克塔维亚·斯宾瑟 / 艾伦·图代克 / 夏奇拉 / 雷蒙德·S·佩尔西 / 德拉·萨巴 / 莫里斯·拉马奇 / 菲尔·约翰斯顿 / 约翰·迪·马吉欧 / 凯蒂·洛斯 / 吉塔·雷迪 / 杰西·科尔蒂 / 汤米·利斯特 / 乔希·达拉斯 / 瑞奇·摩尔 / 凯斯·索西 / 彼得·曼斯布里奇 / 拜伦·霍华德 / 杰拉德·布什 / 马克·史密斯 / 乔西·特立尼达 / 约翰·拉维尔 / 克里斯汀·贝尔 / 吉尔·科德斯 / 梅利莎·古德温,喜剧 / 动画 / 冒险, 美国, 英语 / 挪威语,2016-03-04(中国大陆/美国) / 2020-07-24(中国大陆重映),109分钟(中国大陆) / 108分钟
赤狐书生,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627575957.jpg,5.0,宋灏霖 / 伊力奇,陈立农 / 李现 / 哈妮克孜 / 裴魁山 / 姜超 / 张晨光 / 李晓川 / 王耀庆 / 郝劭文 / 恬妞 / 杨紫 / 林君俊 / 彭杨斐  / 郭唐维 / 欧阳佑同  / 路文博 / 齐若壹,喜剧 / 奇幻 / 古装, 中国大陆, 汉语普通话,2020-12-04(中国大陆),125分钟
侍神令,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2629260713.jpg,5.5,李蔚然,陈坤 / 周迅 / 陈伟霆 / 屈楚萧 / 王丽坤 / 沈月 / 王紫璇 / 王悦伊 / 孙红雷 / 艾米,奇幻, 中国大陆, 汉语普通话,2021-02-12(中国大陆),120分钟
姜子牙,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2621219978.jpg,6.7,程腾 / 李炜,郑希 / 杨凝 / 图特哈蒙 / 阎么么 / 季冠霖 / 姜广涛,剧情 / 动画 / 奇幻, 中国大陆, 汉语普通话,2020-10-01(中国大陆),110分钟
唐人街探案3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2622388983.jpg,5.5,陈思诚,王宝强 / 刘昊然 / 妻夫木聪 / 托尼·贾 / 长泽雅美 / 染谷将太 / 铃木保奈美 / 浅野忠信 / 三浦友和 / 尚语贤 / 肖央 / 张子枫 / 邱泽 / 张钧甯 / 马伯骞 / 程潇 / 陈哲远 / 李明轩 / 崔雨鑫 / 张一白 / 文咏珊 / 张熙然 / 克拉拉 / 树林伸 / 刘德华 / 陈思诚 / 平山日和 / 奥田瑛二 / 六平直政 / 酒向芳 / 秋山成勋 / 桥本爱实 / 长井短 / 宇治清高 / 张国强 / 大鹏 / 陈祉希 / 林沐然,喜剧 / 悬疑, 中国大陆 / 中国香港 / 日本, 汉语普通话 / 日语 / 英语 / 泰语,2021-02-12(中国大陆),136分钟
红海行动,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2514119443.jpg,8.3,林超贤,张译 / 黄景瑜 / 海清 / 杜江 / 蒋璐霞 / 尹昉 / 王强 / 郭家豪 / 王雨甜 / 麦亨利 / 张涵予 / 王彦霖,动作 / 战争, 中国大陆 / 中国香港, 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语,2018-02-16(中国大陆) / 2020-07-24(中国大陆重映),138分钟
少年派的奇幻漂流 Life of Pi,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,9.1,李安,苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波 / 阿迪勒·侯赛因 / 塔布 / 阿尤什·坦东 / 加塔姆·贝鲁尔 / 阿彦·汗 / 穆德·阿巴斯·卡勒里 / 维比什·希瓦库玛 / 热拉尔·德帕迪约 / 詹姆斯·塞托 / 俊·奈托 / 安德里亚·迪·斯戴法诺 / 沙拉万提·塞纳特 / 王柏杰 / 柯一正 / 黄健玮,剧情 / 奇幻 / 冒险, 美国 / 中国台湾 / 英国 / 加拿大, 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话,2012-11-22(中国大陆) / 2012-09-28(纽约电影节) / 2012-11-21(美国),127分钟
复仇者联盟3：无限战争 Avengers: Infinity War,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.jpg,8.1,安东尼·罗素 / 乔·罗素,小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 克里斯·埃文斯 / 马克·鲁弗洛 / 乔什·布洛林 / 佐伊·索尔达娜 / 本尼迪克特·康伯巴奇 / 克里斯·帕拉特 / 汤姆·赫兰德 / 伊丽莎白·奥尔森 / 保罗·贝坦尼 / 斯嘉丽·约翰逊 / 查德维克·博斯曼 / 塞巴斯蒂安·斯坦 / 唐·钱德尔 / 汤姆·希德勒斯顿 / 安东尼·麦凯 / 本尼迪克特·王 / 戴夫·巴蒂斯塔 / 布莱德利·库珀 / 范·迪塞尔 / 凯伦·吉兰 / 利蒂希娅·赖特 / 庞·克莱门捷夫 / 凯莉·库恩 / 汤姆-沃恩-劳勒 / 海登·瓦尔希 / 迈克尔·詹姆斯·肖 / 泰瑞·诺塔里 / 本尼西奥·德尔·托罗 / 彼特·丁拉基 / 罗斯·马昆德 / 丹娜·奎里拉 / 温斯顿·杜克 / 弗洛伦丝·卡松巴 / 塞缪尔·杰克逊 / 雅各布·巴特朗 / 斯坦·李,动作 / 科幻 / 奇幻 / 冒险, 美国, 英语,2018-05-11(中国大陆) / 2018-04-23(加州首映) / 2018-04-27(美国),149分钟
辛德勒的名单 Schindler's List,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,9.5,史蒂文·斯皮尔伯格,连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯 / 卡罗琳·古多尔 / 乔纳森·萨加尔 / 艾伯丝·戴维兹 / 马尔戈萨·格贝尔 / 马克·伊瓦涅 / 碧翠斯·马科拉 / 安德烈·瑟韦林 / 弗里德里希·冯·图恩 / 克齐斯茨托夫·拉夫特 / 诺伯特·魏塞尔 / 维斯瓦夫·科马萨,剧情 / 历史 / 战争, 美国, 英语 / 希伯来语 / 德语 / 波兰语,1993-11-30(华盛顿首映) / 1994-02-04(美国),195分钟
羞羞的铁拳,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2499793218.jpg,6.8,宋阳 / 张吃鱼,艾伦 / 马丽 / 沈腾 / 田雨 / 宋阳 / 薛皓文 / 常远 / 黄才伦 / 王智,喜剧 / 奇幻, 中国大陆, 汉语普通话,2017-09-30(中国大陆),100分钟
调音师 Andhadhun,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2551995207.jpg,8.3,斯里兰姆·拉格万,阿尤斯曼·库拉纳 / 塔布 / 拉迪卡·艾普特 / 安尔·德霍万 / 马纳夫·维吉 / 阿什维尼·卡尔塞卡 / 查亚·卡达姆 / Zakir Hussain / 拉什米·阿格德卡 / 莫希尼·凯瓦拉曼,喜剧 / 悬疑 / 惊悚 / 犯罪, 印度, 印地语 / 英语,2019-04-03(中国大陆) / 2018-10-05(印度),139分钟
猫鼠游戏 Catch Me If You Can,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,9.1,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥 / 汤姆·汉克斯 / 克里斯托弗·沃肯 / 马丁·辛 / 艾米·亚当斯 / 詹妮弗·加纳 / 伊丽莎白·班克斯 / 纳塔莉·贝伊 / 詹姆斯·布洛林 / 艾伦·旁派 / 南希·利内翰 / 布莱恩·豪威  / 弗兰克·约翰·休斯 / 克里斯·埃里斯,剧情 / 传记 / 犯罪, 美国 / 加拿大, 英语 / 法语,2003-04-11(中国大陆) / 2002-12-16(洛杉矶首映) / 2002-12-25(美国),141 分钟
误杀,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614628862.jpg,7.6,柯汶利,肖央 / 谭卓 / 陈冲 / 姜皓文 / 秦沛 / 边天扬 / 许文姗 / 张熙然 / 施名帅 / 黄健玮 / 陈志朋,剧情 / 悬疑 / 犯罪, 中国大陆, 汉语普通话 / 泰语,2019-12-13(中国大陆) / 2020-07-20(中国大陆重映) / 2019-12-07(大规模点映),112分钟
大鱼海棠,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2361744534.jpg,6.9,梁旋 / 张春,季冠霖 / 苏尚卿 / 许魏洲 / 金士杰 / 杨婷 / 潘淑兰 / 九儿 / 王德顺 / 张媛媛 / 薛立方 / 姜广涛 / 张杰 / 马正阳 / 宝木中阳 / 刘校妤,剧情 / 动画 / 奇幻, 中国大陆, 汉语普通话,2016-07-08(中国大陆),105分钟
复仇者联盟2：奥创纪元 Avengers: Age of Ultron,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2237747953.jpg,7.5,乔斯·韦登,小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 马克·鲁弗洛 / 克里斯·埃文斯 / 斯嘉丽·约翰逊 / 杰瑞米·雷纳 / 詹姆斯·斯派德 / 塞缪尔·杰克逊 / 唐·钱德尔 / 亚伦·泰勒-约翰逊 / 伊丽莎白·奥尔森 / 保罗·贝坦尼 / 寇碧·史莫德斯 / 安东尼·麦凯 / 海莉·阿特维尔 / 伊德里斯·艾尔巴 / 斯特兰·斯卡斯加德 / 金秀贤 / 托马斯·克莱舒曼 / 安迪·瑟金斯 / 朱莉·德尔佩 / 斯坦·李 / 亨利·古德曼 / 多米尼克·普罗沃斯特-切克利 / 艾萨克·安德鲁斯,动作 / 科幻 / 奇幻 / 冒险, 美国, 英语 / 韩语,2015-05-12(中国大陆) / 2015-05-01(美国),142分钟
八佰,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2615992304.jpg,7.6,管虎,王千源 / 张译 / 姜武 / 黄志忠 / 张俊一 / 欧豪 / 杜淳 / 魏晨 / 张宥浩 / 唐艺昕 / 李九霄 / 李晨 / 梁静 / 侯勇 / 辛柏青 / 俞灏明 / 刘晓庆 / 姚晨 / 郑恺 / 余皑磊 / 黄晓明 / 徐嘉雯 / 张承 / 马精武 / 胡晓光 / 陆思宇 / 白恩 / 曹璐 / 刘云龙 / 杨嘉华 / 中泉英雄 / 高爽 / 郑伟 / 高冬平 / 黄米依 / 曹卫宇 / 宋洋 / 徐乐同 / 徐幸,剧情 / 历史 / 战争, 中国大陆, 汉语普通话 / 日语 / 英语,2020-08-21(中国大陆) / 2020-08-14(大规模点映),147分钟(公映版) / 160分钟(上海电影节)
复仇者联盟 The Avengers,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1469137689.jpg,8.2,乔斯·韦登,小罗伯特·唐尼 / 克里斯·埃文斯 / 斯嘉丽·约翰逊 / 克里斯·海姆斯沃斯 / 杰瑞米·雷纳 / 马克·鲁弗洛 / 塞缪尔·杰克逊 / 汤姆·希德勒斯顿 / 斯特兰·斯卡斯加德 / 寇碧·史莫德斯 / 克拉克·格雷格 / 保罗·贝坦尼 / 格温妮斯·帕特洛,动作 / 科幻 / 奇幻 / 冒险, 美国, 英语 / 俄语,2012-05-05(中国大陆) / 2012-05-04(美国),142分钟
美丽人生 La vita è bella,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,9.5,罗伯托·贝尼尼,罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼 / 朱斯蒂诺·杜拉诺 / 赛尔乔·比尼·布斯特里克 / 玛丽萨·帕雷德斯 / 霍斯特·布赫霍尔茨 / 利迪娅·阿方西 / 朱利亚娜·洛约迪切 / 亚美利哥·丰塔尼 / 彼得·德·席尔瓦 / 弗朗西斯·古佐 / 拉法埃拉·莱博罗尼 / 克劳迪奥·阿方西 / 吉尔·巴罗尼 / 马西莫·比安奇 / 恩尼奥·孔萨尔维 / 吉安卡尔洛·科森蒂诺 / 阿伦·克雷格 / 汉尼斯·赫尔曼 / 弗兰科·梅斯科利尼 / 安东尼奥·普雷斯特 / 吉娜·诺维勒 / 理查德·塞梅尔 / 安德烈提多娜 / 迪尔克·范登贝格 / 奥梅罗·安东努蒂,剧情 / 喜剧 / 爱情 / 战争, 意大利, 意大利语 / 德语 / 英语,2020-01-03(中国大陆) / 1997-12-20(意大利),116分钟 / 125分钟(戛纳电影节)
那些年，我们一起追的女孩 那些年，我們一起追的女孩,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1348910586.jpg,8.1,九把刀,柯震东 / 陈妍希 / 敖犬 / 郝劭文 / 蔡昌宪 / 侯彦西 / 弯弯 / 邱彦翔 / 王彩桦 / 柯义浤 / 黄逸祥 / 李凤新 / 黄柏钧 / 赖雅妍 / 高丽红 / 李维维 / 严艺文 / 蔡武雄,剧情 / 喜剧 / 爱情, 中国台湾, 汉语普通话,2012-01-06(中国大陆) / 2011-08-19(中国台湾),110分钟 / 100分钟(中国大陆)
无双 無雙,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg,8.0,庄文强,周润发 / 郭富城 / 张静初 / 冯文娟 / 廖启智 / 周家怡 / 王耀庆 / 方中信 / 高捷 / 邢佳栋 / 张松枝 / 张建声 / 吴嘉龙 / 孙佳君,剧情 / 动作 / 悬疑 / 犯罪, 中国大陆 / 中国香港, 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语,2018-09-30(中国大陆) / 2018-10-04(中国香港),130分钟
飞驰人生,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg,6.9,韩寒,沈腾 / 黄景瑜 / 尹正 / 张本煜 / 尹昉 / 田雨 / 魏翔 / 赵文瑄 / 腾格尔 / 易小星 / 李庆誉 / 高华阳 / 刘帅良 / 李玲玉 / 何穗 / 潘晓婷 / 田原 / 李春嫒 / 冯绍峰,喜剧, 中国大陆, 汉语普通话 / 英语,2019-02-05(中国大陆),98分钟
喜剧之王 喜劇之王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,8.8,周星驰 / 李力持,周星驰 / 张柏芝 / 莫文蔚 / 吴孟达 / 林子善 / 田启文 / 李兆基 / 成龙 / 李思捷 / 郑文辉,剧情 / 喜剧 / 爱情, 中国香港, 粤语,1999-02-13(中国香港),89分钟
小丑 Joker,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg,8.7,托德·菲利普斯,华金·菲尼克斯 / 罗伯特·德尼罗 / 马克·马龙 / 莎姬·贝兹 / 谢伊·惠格姆 / 弗兰西丝·康罗伊 / 布莱恩·考伦 / 布莱恩·泰里·亨利 / 布莱特·卡伦 / 道格拉斯·霍奇斯 / 格伦·弗莱施勒 / 比尔·坎普 / 乔什·帕斯 / 但丁·佩雷拉-奥尔森 / 玛丽·凯特·马拉特 / 迈克尔·本茨 / 莎珑·华盛顿 / 桑德拉·詹姆斯 / 托尼·赫德 / 曼德拉·贝拉米 / 乔·奥克曼 / 卡尔·伦德施泰特 / 米克·奥罗克 / 大卫·吉布森 / 伊万·罗萨多 / 安妮·比萨比亚 / 布莱斯·科里根 / 乔恩·道格拉斯·雷尼 / 艾恩斯利·丹恩 / 杰森·约翰·奇卡莱塞,剧情 / 惊悚 / 犯罪, 美国 / 加拿大, 英语,2019-08-31(威尼斯电影节) / 2019-10-04(美国),122分钟 / 118分钟(威尼斯电影节)
剪刀手爱德华 Edward Scissorhands,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,8.7,蒂姆·波顿,约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特 / 安东尼·迈克尔·豪尔 / 凯西·贝克 / 罗伯特·奥利维里 / 康查塔·费雷尔 / 卡罗琳·阿隆 / 迪克·安东尼·威廉姆斯 / 澳澜·琼斯 / 文森特·普莱斯 / 艾伦·阿金 / 苏珊·布洛马特 / 约翰·戴维森 / 布莱恩·拉肯 / Victoria Price / Stuart Lancaster / Gina Gallagher / 阿隆·鲁斯汀 / 阿兰·弗吉 / 史蒂文·布里尔 / Peter Palmer / 马克·麦考利 / 唐娜·派洛尼 / Ken DeVaul / Kathy Dombo / Tabetha Thomas / 尼克·卡特,剧情 / 爱情 / 奇幻, 美国, 英语,1990-12-06(美国),105分钟
熔炉 도가니,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,9.3,黄东赫,孔刘 / 郑有美 / 金贤秀 / 郑仁絮 / 白承焕 / 张光 / 金民尚 / 林贤成 / 金周灵 / 严孝燮 / 全国焕 / 崔镇浩 / 金志映 / 严智星 / 许在浩 / 张素妍,剧情, 韩国, 韩语,2011-09-22(韩国),125分钟
