title,cover,rating,director,actor,category,country,language,pub_date,duration
吉祥如意,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2632185061.jpg,7.9,大鹏,王吉祥 / 大鹏 / 刘陆,剧情 / 家庭, 中国大陆, 汉语普通话,2021-01-29(中国大陆) / 2020-07-26(上海电影节),80分钟
送你一朵小红花,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2618247457.jpg,7.4,韩延,易烊千玺 / 刘浩存 / 朱媛媛 / 高亚麟 / 夏雨 / 岳云鹏 / 陈祉希 / 李晓川 / 孔琳 / 吴晓亮 / 张绍刚 / 孙强 / 安笑歌 / 李增辉 / 姚未平 / 张浩天 / 柴陆,剧情, 中国大陆, 汉语普通话,2020-12-31(中国大陆),128分钟
寄生虫 기생충,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,8.8,奉俊昊,宋康昊 / 李善均 / 曹如晶 / 崔宇植 / 朴素丹 / 李姃垠 / 张慧珍 / 郑知晓 / 朴明勋 / 朴叙俊 / 朴根禄 / 郑贤俊 / 朴孝新 / 安德烈亚斯·弗龙克,剧情 / 喜剧, 韩国, 韩语 / 英语,2019-05-21(戛纳电影节) / 2019-05-30(韩国),132分钟
夏洛特烦恼,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2264377763.jpg,7.7,闫非 / 彭大魔,沈腾 / 马丽 / 尹正 / 艾伦 / 王智 / 田雨 / 宋阳 / 常远 / 李萍 / 李立群 / 张一鸣 / 马小茜 / 赵震 / 董良瑜 / 刘坤 / 黄才伦 / 陈昊明 / 陆林洁 / 王成思 / 刘金 / 刘立东 / 杨欢 / 宁幻秋 / 温森 / 陶柏 / 许猛 / 嫣红 / 刘叶舟 / 王硕 / 马驰 / 周展翅 / 周华安 / 顾佳欣 / 易波 / 一戈 / 姜田丰 / 郭恩强 / 常世奎 / 于健 / 王琦 / 赵雪 / 陶亮 / 黄杨 / 陆羊 / 王军 / 刘子凡 / 刘笑竹 / 卢莹 / 张广洁 / 方菲菲 / 许登雨 / 朱波 / 肖扬 / 魏翔 / 江夏 / 吴江 / 张辰 / 王野 / 贾悦明 / 王翡 / 简姗姗 / 申琴子 / 尹星人 / 桂百惠 / 管亚鑫 / 彭泽言 / 王思浩 / 关鹏 / 桂琛 / 朱磊 / 徐贤任 / 田川 / 李哲,喜剧 / 爱情, 中国大陆, 汉语普通话,2015-09-30(中国大陆),104分钟
我和我的祖国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.jpg,7.7,陈凯歌 / 张一白 / 管虎 / 薛晓路 / 徐峥 / 宁浩 / 文牧野,黄渤 / 张译 / 韩昊霖 / 杜江 / 葛优 / 刘昊然 / 宋佳 / 王千源 / 任素汐 / 吴京 / 朱一龙 / 王东 / 陈飞宇 / 佟丽娅 / 欧豪 / 张嘉益 / 惠英红 / 龚蓓苾 / 田壮壮 / 韩东君 / 辛柏青 / 周冬雨 / 任达华 / 江珊 / 王砚辉 / 耿乐 / 姜武 / 梁静 / 佟大为 / 魏晨 / 胡军 / 王天辰 / 彭昱畅 / 罗海琼 / 郭丞 / 周依然 / 樊雨洁 / 刘涛 / 马伊琍 / 张建亚 / 徐峥 / 王洛勇 / 高亚麟 / 王道铁 / 程禹森 / 马书良 / 景海鹏 / 陈冬 / 雷佳音 / 张子枫 / 陶虹 / 郭京飞 / 袁文康 / 贾晨飞 / 邵汶 / 张芝华 / 段博文 / 郎平,剧情, 中国大陆, 汉语普通话,2019-09-30(中国大陆),155分钟
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,9.1,克里斯·哥伦布,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿 / 伊恩·哈特 / 理查德·哈里斯 / 约翰·赫特 / 罗彼·考特拉尼 / 朱丽·沃特斯 / 邦妮·怀特 / 约翰·克里斯 / 肖恩·比格斯代夫,奇幻 / 冒险, 美国 / 英国, 英语,2002-01-26(中国大陆) / 2020-08-14(中国大陆重映) / 2001-11-04(英国首映) / 2001-11-16(美国),152分钟 / 159分钟(加长版)
釜山行 부산행,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,8.6,延尚昊,孔刘 / 郑有美 / 马东锡 / 金秀安 / 金义城 / 崔宇植 / 安昭熙 / 崔奎华 / 郑锡勇 / 艺秀晶 / 朴明申 / 张赫镇 / 禹都临 / 沈恩京,动作 / 惊悚 / 灾难, 韩国, 韩语,2016-05-13(戛纳电影节) / 2016-07-20(韩国),118分钟
复仇者联盟4：终局之战 Avengers: Endgame,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg,8.5,安东尼·罗素 / 乔·罗素,小罗伯特·唐尼 / 克里斯·埃文斯 / 马克·鲁弗洛 / 克里斯·海姆斯沃斯 / 乔什·布洛林 / 保罗·路德 / 凯伦·吉兰 / 杰瑞米·雷纳 / 斯嘉丽·约翰逊 / 唐·钱德尔 / 布丽·拉尔森 / 布莱德利·库珀 / 泰莎·汤普森 / 汤姆·赫兰德 / 伊丽莎白·奥尔森 / 本尼迪克特·康伯巴奇 / 蒂尔达·斯文顿 / 格温妮斯·帕特洛 / 蕾妮·罗素 / 约翰·斯拉特里 / 查德维克·博斯曼 / 安东尼·麦凯 / 塞巴斯蒂安·斯坦 / 克里斯·帕拉特 / 汤姆·希德勒斯顿 / 佐伊·索尔达娜 / 丹娜·奎里拉 / 本尼迪克特·王 / 庞·克莱门捷夫 / 戴夫·巴蒂斯塔 / 利蒂希娅·赖特 / 伊万杰琳·莉莉 / 乔恩·费儒 / 海莉·阿特维尔 / 娜塔莉·波特曼 / 玛丽莎·托梅 / 塔伊加·维迪提 / 安吉拉·贝塞特 / 迈克尔·道格拉斯 / 米歇尔·菲佛 / 威廉·赫特 / 寇碧·史莫德斯 / 肖恩·古恩 / 温斯顿·杜克 / 琳达·卡德里尼 / 马克斯米利亚诺·赫尔南德斯 / 弗兰克·格里罗 / 真田广之 / 汤姆-沃恩-劳勒 / 詹姆斯·达西 / 雅各布·巴特朗 / 范·迪塞尔 / 罗伯特·雷德福 / 塞缪尔·杰克逊 / 伊薇特·尼科尔·布朗 / 卡梅伦·布鲁姆布罗 / 蒂莫西·卡尔 / 凯瑞·康顿 / 迈克尔·A·库克 / 凯莉·库恩 / 艾玛·福尔曼 / 雷纳·加拉赫 / 丹妮拉·加斯基 / 郑肯 / 小弗洛伊德·安东尼·约翰 / 斯坦·李 / 罗斯·马昆德 / 布伦特·麦吉 / 迈克尔·皮耶里诺·米勒 / 卡兰·马尔韦 / 泰瑞·诺塔里 / 吉米·雷·皮肯斯 / 迈克尔·詹姆斯·肖 / 泰·辛普金斯 / 格雷格·蒂芬,剧情 / 动作 / 科幻 / 奇幻 / 冒险, 美国, 英语 / 日语 / 科萨语,2019-04-24(中国大陆) / 2019-04-26(美国),181分钟
楚门的世界 The Truman Show,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,9.3,彼得·威尔,金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯 / 诺亚·艾默里奇 / 娜塔莎·麦克艾霍恩,剧情 / 科幻, 美国, 英语,1998-06-05(美国),103分钟
神偷奶爸 Despicable Me,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,8.6,皮埃尔·柯芬 / 克里斯·雷纳德,史蒂夫·卡瑞尔 / 杰森·席格尔 / 拉塞尔·布兰德 / 朱莉·安德鲁斯 / 威尔·阿奈特 / 克里斯汀·韦格 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 艾尔西·费舍尔 / 皮埃尔·柯芬 / 克里斯·雷纳德 / 杰梅奈·克莱门特 / 杰克·麦克布瑞尔 / 丹尼·麦克布莱德 / 敏迪·卡灵 / 罗布·许贝尔 / 肯·道里欧 / 郑肯,喜剧 / 动画 / 冒险, 美国 / 法国, 英语,2010-06-20(莫斯科电影节) / 2010-07-09(美国),95分钟
新神榜：哪吒重生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2631711326.jpg,7.1,赵霁,杨天翔 / 张赫 / 宣晓鸣 / 李诗萌 / 朱可儿 / 凌振赫 / 刘若班 / 张遥函 / 张喆 / 高增志 / 郭浩然,动作 / 动画 / 奇幻, 中国大陆, 汉语普通话,2021-02-12(中国大陆),116分钟
三傻大闹宝莱坞 3 Idiots,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,9.2,拉吉库马尔·希拉尼,阿米尔·汗 / 卡琳娜·卡普尔 / 马达范 / 沙尔曼·乔希 / 奥米·瓦依达 / 博曼·伊拉尼 / 莫娜·辛格 / 拉杰夫·拉宾德拉纳特安,剧情 / 喜剧 / 爱情 / 歌舞, 印度, 印地语 / 乌尔都语 / 英语,2011-12-08(中国大陆) / 2009-12-25(印度),171分钟(印度)
唐人街探案2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2512717519.jpg,6.6,陈思诚,王宝强 / 刘昊然 / 肖央 / 刘承羽 / 尚语贤 / 王迅 / 妻夫木聪 / 迈克尔·皮特 / 白灵 / 元华 / 曾江 / 王成思 / 杨金赐 / 范湉湉 / 佟丽娅 / 陈思诚,喜剧 / 动作 / 悬疑, 中国大陆, 汉语普通话 / 英语 / 日语 / 粤语,2018-02-16(中国大陆),121分钟
蜘蛛侠：英雄远征 Spider-Man: Far from Home,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558293106.jpg,7.7,乔·沃茨,汤姆·赫兰德 / 赞达亚 / 杰克·吉伦哈尔 / 寇碧·史莫德斯 / 塞缪尔·杰克逊 / 乔恩·费儒 / 玛丽莎·托梅 / 雅各布·巴特朗 / 安格瑞·赖斯 / 马丁·斯塔尔 / 瑞米·许 / 纽曼·阿卡 / 托尼·雷沃罗利 / J·B·斯穆夫 / 赫米基·马德拉 / 戴维娜·西塔拉姆 / 约瑟夫·朗 / 露丝·霍洛克斯 / 希滕·珀泰尔 / 杰罗恩·凡·康宁斯伯格 / 列尼斯·德洛桑托斯 / 查利·蕾娅·埃斯奎尔 / 费斯·洛根 / J·K·西蒙斯 / 小罗伯特·唐尼,动作 / 科幻 / 冒险, 美国, 英语,2019-06-28(中国大陆) / 2019-07-02(美国),127分钟
星际穿越 Interstellar,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,9.3,克里斯托弗·诺兰,马修·麦康纳 / 安妮·海瑟薇 / 杰西卡·查斯坦 / 麦肯吉·弗依 / 卡西·阿弗莱克 / 迈克尔·凯恩 / 马特·达蒙 / 蒂莫西·柴勒梅德 / 艾伦·伯斯汀 / 约翰·利思戈 / 韦斯·本特利 / 大卫·吉亚西 / 比尔·欧文 / 托弗·戈瑞斯 / 科莱特·沃夫 / 弗朗西斯·X·麦卡蒂 / 安德鲁·博尔巴 / 乔什·斯图沃特 / 莱雅·卡里恩斯 / 利亚姆·迪金森 / 杰夫·赫普内尔 / 伊莱耶斯·加贝尔 / 布鲁克·史密斯 / 大卫·奥伊罗 / 威廉姆·德瓦内 / 拉什·费加 / 格里芬·弗雷泽 / 弗洛拉·诺兰,剧情 / 科幻 / 冒险, 美国 / 英国 / 加拿大, 英语,2014-11-12(中国大陆) / 2020-08-02(中国大陆重映) / 2014-11-07(美国),169分钟
钢铁侠 Iron Man,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p725871968.jpg,8.3,乔恩·费儒,小罗伯特·唐尼 / 泰伦斯·霍华德 / 格温妮斯·帕特洛 / 杰夫·布里吉斯 / 莱丝莉·比伯 / 肖恩·托布  / 保罗·贝坦尼 / 乔恩·费儒 / 克拉克·格雷格,动作 / 科幻 / 惊悚 / 冒险, 美国, 英语 / 波斯语 / 乌尔都语 / 阿拉伯语,2008-04-30(中国大陆) / 2008-04-14(悉尼首映) / 2008-05-02(美国),126 分钟
哪吒之魔童降世,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg,8.4,饺子,吕艳婷 / 囧森瑟夫 / 瀚墨 / 陈浩 / 绿绮 / 张珈铭 / 杨卫,剧情 / 喜剧 / 动画 / 奇幻, 中国大陆, 汉语普通话,2019-07-26(中国大陆) / 2019-07-13(大规模点映),110分钟
盗梦空间 Inception,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg,9.3,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾利奥特·佩吉 / 汤姆·哈迪 / 渡边谦 / 迪利普·劳 / 基里安·墨菲 / 汤姆·贝伦杰 / 玛丽昂·歌迪亚 / 皮特·波斯尔思韦特 / 迈克尔·凯恩 / 卢卡斯·哈斯 / 李太力 / 克莱尔·吉尔蕾 / 马格努斯·诺兰 / 泰勒·吉蕾 / 乔纳森·吉尔 / 水源士郎 / 冈本玉二 / 厄尔·卡梅伦 / 瑞恩·海沃德 / 米兰达·诺兰 / 拉什·费加 / 蒂姆·科勒赫 / 妲露拉·莱莉,剧情 / 科幻 / 悬疑 / 冒险, 美国 / 英国, 英语 / 日语 / 法语,2010-09-01(中国大陆) / 2020-08-28(中国大陆重映) / 2010-07-16(美国),148分钟
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,9.2,刘镇伟,周星驰 / 吴孟达 / 朱茵 / 蔡少芬 / 蓝洁瑛 / 莫文蔚 / 罗家英 / 刘镇伟 / 陆树铭 / 李健仁,喜剧 / 爱情 / 奇幻 / 古装, 中国香港 / 中国大陆, 粤语 / 汉语普通话,2014-10-24(中国大陆) / 2017-04-13(中国大陆重映) / 1995-02-04(中国香港),95分钟 / 110分钟(重映版)
怦然心动 Flipped,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,9.1,罗伯·莱纳,玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / 瑞贝卡·德·莫妮 / 安东尼·爱德华兹 / 约翰·马奥尼 / 佩内洛普·安·米勒 / 艾丹·奎因 / 凯文·韦斯曼 / 摩根·莉莉 / 瑞安·克茨纳 / 吉莉安·普法夫 / 迈克尔·博萨 / 博·勒纳 / 杰奎琳·埃沃拉 / 泰勒·格鲁秀斯 / 艾莉·布莱恩特 / 阿什莉·泰勒 / 伊瑟尔·布罗萨德 / 科迪·霍恩 / 迈克尔·博尔顿 / 肖恩·哈珀 / 斯戴芬妮·斯考特 / 帕特丽夏·伦茨 / 马修·戈尔德 / 阿罗拉·凯瑟琳·史密斯 / 凯莉·唐纳利 / 索菲亚·撒高 / 米歇尔·梅斯默 / 斯科特·乔尔·吉兹基 / 罗德·迈尔斯 / 卡拉 帕西托 / 凯特琳·帕西托,剧情 / 喜剧 / 爱情, 美国, 英语,2010-07-26(好莱坞首映) / 2010-09-10(美国),90分钟
让子弹飞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,8.9,姜文,姜文 / 葛优 / 周润发 / 刘嘉玲 / 陈坤 / 张默 / 姜武 / 周韵 / 廖凡 / 姚橹 / 邵兵 / 苗圃 / 冯小刚 / 胡军 / 马珂 / 白冰 / 杜奕衡 / 李静 / 胡明 / 危笑 / 杨奇雨 / 赵铭,剧情 / 喜剧 / 动作 / 西部, 中国大陆 / 中国香港, 汉语普通话 / 四川话 / 山西话,2010-12-16(中国大陆),132分钟
烈火英雄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563630521.jpg,6.5,陈国辉,黄晓明 / 杜江 / 谭卓 / 杨紫 / 欧豪 / 侯勇 / 张哲瀚 / 谷嘉诚 / 印小天 / 高戈 / 许文广 / 刘金山 / 丁嘉丽,剧情 / 灾难, 中国大陆, 汉语普通话,2019-08-01(中国大陆),120分钟
流浪地球,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg,7.9,郭帆,屈楚萧 / 吴京 / 李光洁 / 吴孟达 / 赵今麦 / 隋凯 / 屈菁菁 / 张亦驰 / 杨皓宇 / 阿尔卡基·沙罗格拉茨基 / 李虹辰 / 杨轶 / 姜志刚 / 张欢 / 雷佳音 / 宁浩 / 刘慈欣 / 郭京飞 / 王智 / 张子贤 / 路阳 / 张宁 / 张小北 / 饶晓志 / 陶珞依 / 吴晓亮 / 龚格尔 / 郭帆,科幻 / 冒险 / 灾难, 中国大陆, 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语,2019-02-05(中国大陆) / 2020-11-26(中国大陆重映),125分钟 / 137分钟(重映版)
飞屋环游记 Up,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,9.0,彼特·道格特 / 鲍勃·彼德森,爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井 / 鲍勃·彼德森 / 德尔罗伊·林多 / 杰罗姆·兰福特 / 约翰·拉岑贝格 / 大卫·卡耶 / 艾丽·道克特 / 杰里米·利里 / 米凯·麦高万 / 丹尼·曼恩 / 唐纳德·富利洛夫 / 杰斯·哈梅尔 / 乔什·库雷 / 彼特·道格特,剧情 / 喜剧 / 动画 / 冒险, 美国, 英语,2009-08-04(中国大陆) / 2009-05-13(戛纳电影节) / 2009-05-29(美国),96分钟
寻梦环游记 Coco,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg,9.1,李·昂克里奇 / 阿德里安·莫利纳,安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔 / 本杰明·布拉特 / 阿兰娜·乌巴赫 / 芮妮·维克托 / 杰米·卡米尔 / 阿方索·阿雷奥 / 赫伯特·西古恩萨 / 加布里埃尔·伊格莱西亚斯 / 隆巴多·博伊尔 / 安娜·奥菲丽亚·莫吉亚 / 娜塔丽·科尔多瓦 / 赛琳娜·露娜 / 爱德华·詹姆斯·奥莫斯 / 索菲亚·伊斯皮诺萨 / 卡拉·梅迪纳 / 黛娅娜·欧特里 / 路易斯·瓦尔德斯 / 布兰卡·阿拉切利 / 萨尔瓦多·雷耶斯 / 切奇·马林 / 奥克塔维·索利斯 / 约翰·拉岑贝格,喜剧 / 动画 / 音乐 / 奇幻, 美国, 英语 / 西班牙语,2017-11-24(中国大陆) / 2020-07-20(中国大陆重映) / 2017-11-22(美国),105分钟
这个杀手不太冷 Léon,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,9.4,吕克·贝松,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼 / 丹尼·爱罗 / 彼得·阿佩尔 / 迈克尔·巴达鲁科 / 艾伦·格里尼 / 伊丽莎白·瑞根 / 卡尔·马图斯维奇 / 弗兰克·赛格 / 麦温 / 乔治·马丁 / 罗伯特·拉萨多 / 亚当·布斯奇 / 马里奥·托迪斯科 / 萨米·纳塞利,剧情 / 动作 / 犯罪, 法国 / 美国, 英语 / 意大利语 / 法语,1994-09-14(法国),110分钟(剧场版) / 133分钟(国际版)
少年的你,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg,8.3,曾国祥,周冬雨 / 易烊千玺 / 尹昉 / 周也 / 吴越 / 黄觉 / 张艺凡 / 张耀 / 张歆怡 / 赵润南 / 郜玄铭,剧情 / 爱情 / 犯罪, 中国大陆 / 中国香港, 汉语普通话,2019-10-25(中国大陆),135分钟
西虹市首富,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529206747.jpg,6.6,闫非 / 彭大魔,沈腾 / 宋芸桦 / 张一鸣 / 张晨光 / 常远 / 魏翔 / 赵自强 / 九孔 / 李立群 / 王成思 / 徐冬冬 / 艾伦 / 杨皓宇 / 黄才伦 / 王力宏 / 包贝尔 / 郎咸平 / 张绍刚 / 杨文哲 / 陶亮 / 王赞 / 黄杨 / 刘鉴 / 杨沅翰 / 林炳宝 / 骆佳 / 陈昊明 / 臧一人,喜剧, 中国大陆, 汉语普通话,2018-07-27(中国大陆),118分钟
你的名字。 君の名は。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,8.4,新海诚,神木隆之介 / 上白石萌音 / 长泽雅美 / 市原悦子 / 成田凌 / 悠木碧 / 岛崎信长 / 石川界人 / 谷花音 / 寺杣昌纪 / 大原沙耶香 / 井上和彦 / 茶风林 / 加藤有花 / 花泽香菜 / 寺崎裕香,剧情 / 爱情 / 动画, 日本, 日语,2016-12-02(中国大陆) / 2016-08-26(日本),106分钟
心灵奇旅 Soul,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2626308994.jpg,8.8,彼特·道格特 / 凯普·鲍尔斯,杰米·福克斯 / 蒂娜·菲 / 菲利西亚·拉斯海德 / 阿米尔-卡利布·汤普森 / 戴维德·迪格斯 / 格拉汉姆·诺顿 / 瑞切尔·豪斯 / 艾莉丝·布拉加 / 理查德·艾欧阿德 / 唐尼尔·罗林斯 / 安吉拉·贝塞特 / 马戈·霍尔 / 罗德莎·琼斯 / 韦斯·斯塔迪 / 沙基纳·贾弗里 / 福琼·费姆斯特 / 卡鲁姆·格兰特 / 泽诺比娅·谢罗夫 / 朱恩·斯奎布 / 凯茜·卡瓦蒂妮 / 罗纳尔多·德尔·卡门 / Elisapie Isaac / 杰森·佩斯 / 科拉·尚波米耶,动画 / 音乐 / 奇幻, 美国, 英语,2020-12-25(中国大陆/美国网络) / 2020-10-11(伦敦电影节),101分钟
你好，李焕英,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2629056068.jpg,8.0,贾玲,贾玲 / 张小斐 / 沈腾 / 陈赫 / 刘佳 / 丁嘉丽 / 王琳 / 杜源 / 何翯 / 何欢 / 韩云云 / 包文婧 / 葛珊珊 / 史策 / 黄小猫 / 许君聪 / 卜钰 / 刘宏禄 / 魏翔 / 孙集斌 / 泰维 / 郭宇鹏 / 朱天福 / 王宇 / 冯巩 / 乔杉 / 王小利 / 宋晓峰 / 董若溪 / 曹贺军 / 赵婷婷 / 姬晴 / 郭祥鹏 / 李一峰 / 潘斌龙,剧情 / 喜剧 / 奇幻, 中国大陆, 汉语普通话,2021-02-12(中国大陆),128分钟
霸王别姬,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,9.6,陈凯歌,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性, 中国大陆 / 中国香港, 汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
波斯语课 Persischstunden,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2637021404.jpg,8.2,瓦迪姆·佩尔曼,纳威尔·佩雷兹·毕斯卡亚特 / 拉斯·艾丁格 / 约纳斯·奈伊 / 大卫·舒特 / 亚历山大·拜尔 / 安德里亚斯·霍佛尔 / 莉奥妮·贝尼希 / 朱塞佩·希拉奇 / 安托尼·查隆 / 菲利克斯·冯·布雷多 / 帕斯卡尔·艾尔索 / 马库斯·卡尔文,剧情, 俄罗斯 / 德国 / 白俄罗斯, 德语 / 法语 / 波斯语 / 英语 / 意大利语,2021-03-19(中国大陆) / 2020-02-22(柏林电影节) / 2020-09-24(德国),127分钟
山河令生来知己演唱会,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2640054503.jpg,,,张哲瀚 / 龚俊 / 周也 / 马闻远 / 孙浠伦 / 李岱昆 / 王若麟 / 黄宥明 / 陈紫函 / 金乐 / 赵茜 / 柯乃予 / 郭家豪 / 范津玮 / 黑子 / 郭云飞 / 袁帅 / 胡夏 / 霍尊 / 满舒克 / 王嘉诚 / 王晰 / 弦子 / 叶里 / 汪聪 / 谢楠 / 马韬 / 小初 / 周照中 / 杨涵玉,音乐 / 歌舞, 中国大陆, 汉语普通话,2021-05-03(中国大陆网络),300分钟
人潮汹涌,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2632862664.jpg,6.8,饶晓志,刘德华 / 肖央 / 万茜 / 程怡 / 黄小蕾 / 国义骞 / 狄志杰 / 郭京飞 / 刘天佐 / 路阳 / 郭帆 / 刘浩良 / 饶晓志 / 雷佳音 / 史航 / 魏之皓 / 王学兵 / 林海 / 隋凯 / 卫莱,喜剧 / 犯罪, 中国大陆 / 中国香港, 汉语普通话,2021-02-12(中国大陆),119分钟
悬崖之上,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2641614433.jpg,7.6,张艺谋,张译 / 于和伟 / 秦海璐 / 朱亚文 / 刘浩存 / 倪大红 / 李乃文 / 余皑磊 / 周晓凡 / 雷佳音 / 沙溢 / 韩昊霖 / 赵毅,剧情 / 动作 / 悬疑, 中国大陆 / 中国香港, 汉语普通话 / 英语 / 俄语,2021-04-30(中国大陆),120分钟
